"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_hotel_list","test","2026-09-14","broken","2026-09-14","TestHootel","test_hootel","",""
"A belépés tesztelése","0","Hootel Login","test","2026-09-14","broken","2026-09-14","TestHootel","test_hootel","",""
